1|Johnson,Debbie|dejohns2@wsc.edu|111-222-3333|12/31/2019|13:40
abc|Johnson|dejohns2@gmail.com|1112223333|12/31/80|1340
21|Anderson,Luke|luke.anderson@example.com|123-456-7890|08/10/2021|09:30
22|Chang,Grace|gchang@example.com|987-654-3210|09/25/2021|12:45
23|Kumar,Amit|amitkumar@example.com|555-555-5555|10/30/2021|16:20
24|Wong,Michelle|mwong@example.com|777-777-7777|11/15/2021|14:55
25|Gonzalez,Carlos|cgonzalez@example.com|111-222-3333|12/20/2021|10:10
abc|Brown,Emma|emma.brown@example.com|444-555-6666|01/25/2022|08:00
xyz|Johnson,Michael|m.johnson@example.com|888-999-0000|02/30/2022|15:75
26|Smith,Emily|emily.smith@example.edu|111-222-3333|12/31/2021|08:15
27|Brown,David|david.brown@example.edu|222-333-4444|01/15/2022|09:30
28|Martinez,Sophia|sophia.martinez@example.edu|333-444-5555|02/28/2022|10:45
29|Lee,James|james.lee@example.edu|444-555-6666|03/20/2022|11:00
30|Garcia,Emma|emma.garcia@example.edu|555-666-7777|04/10/2022|12:15
31|Hernandez,Michael|michael.hernandez@example.edu|666-777-8888|05/05/2022|13:30
123|Taylor|taylor@example.com|666-777-8888|03/35/2022|07:20
def|Wilson,Jane|jwilson@example.com|222-333-4444|04/40/2022|20:00
456|Williams|williams@example.com|999-888-7777|05/55/2022|09:70
456|Williams|williams@example.com|999-888-7777|05/55/2022
1|Johnson,Michael|m.johnson@example.com|888-999-0000|02/30/2022|15:75
5|Johnson,Michael|m.johnson@example.edu|888-999-0000|02/28/2022|15:35
